equipment_id,equipment_type,manufacturer,model,serial_number,purchase_date,warranty_expiration,operating_system,processor,ram_size,last_test_date
203,server,Brightdog,HP EliteBook,ABC123,10/31/2014,2/5/2024,Ubuntu 20.04,AMD Ryzen 5,31,4/15/2021
204,server,Devcast,HP EliteBook,GHI789,2/9/2019,6/5/2025,Ubuntu 20.04,Intel Core i7,5,3/3/2021
205,scanner,Mydo,HP EliteBook,GHI789,2/16/2019,11/17/2024,macOS Big Sur,Qualcomm Snapdragon,21,7/23/2022
206,server,Yodel,HP EliteBook,GHI789,2/16/2011,5/4/2022,Windows 10,Intel Core i7,11,2/19/2022
207,scanner,Chatterpoint,Dell OptiPlex,ABC123,4/27/2016,12/5/2024,Windows 10,Qualcomm Snapdragon,31,1/27/2023
208,server,Photofeed,HP EliteBook,ABC123,1/10/2013,1/24/2024,macOS Big Sur,AMD Ryzen 5,7,11/28/2023
209,laptop,Photospace,Lenovo ThinkCentre,DEF456,4/4/2015,11/25/2025,Ubuntu 20.04,Intel Core i7,31,10/6/2020
210,desktop,Oloo,Lenovo ThinkCentre,DEF456,2/3/2021,9/7/2024,Ubuntu 20.04,AMD Ryzen 5,20,8/28/2020
211,scanner,Trupe,HP EliteBook,ABC123,4/21/2019,9/25/2024,Windows 10,Qualcomm Snapdragon,11,2/8/2022
212,server,Agivu,Lenovo ThinkCentre,ABC123,2/8/2020,12/30/2025,Ubuntu 20.04,AMD Ryzen 5,28,5/8/2022
213,scanner,Quatz,Lenovo ThinkCentre,ABC123,12/11/2012,5/2/2025,macOS Big Sur,Qualcomm Snapdragon,16,7/1/2021
214,laptop,Gigashots,Dell OptiPlex,GHI789,7/3/2010,4/30/2025,Windows 10,AMD Ryzen 5,25,8/1/2021
215,server,Muxo,HP EliteBook,DEF456,5/5/2012,2/13/2024,Ubuntu 20.04,Qualcomm Snapdragon,27,5/24/2020
216,scanner,Skajo,Dell OptiPlex,ABC123,11/9/2012,4/18/2022,macOS Big Sur,AMD Ryzen 5,26,1/18/2020
217,laptop,Oloo,Dell OptiPlex,DEF456,8/18/2019,1/19/2024,macOS Big Sur,AMD Ryzen 5,12,2/22/2020
218,server,Cogibox,Lenovo ThinkCentre,ABC123,10/2/2020,8/6/2022,Ubuntu 20.04,Intel Core i7,6,12/23/2020
219,scanner,Talane,HP EliteBook,DEF456,2/10/2019,4/7/2022,macOS Big Sur,Intel Core i7,25,11/19/2021
220,server,Eare,Dell OptiPlex,ABC123,10/17/2021,3/10/2025,macOS Big Sur,Intel Core i7,6,3/22/2021
221,scanner,Yakijo,Lenovo ThinkCentre,ABC123,5/18/2019,7/3/2023,macOS Big Sur,Qualcomm Snapdragon,32,6/13/2021
222,server,Edgeblab,Dell OptiPlex,ABC123,5/19/2015,11/12/2025,Windows 10,Qualcomm Snapdragon,13,11/29/2023
223,scanner,Dabshots,Lenovo ThinkCentre,GHI789,5/27/2021,3/5/2022,macOS Big Sur,AMD Ryzen 5,6,1/27/2020
224,server,Centizu,Lenovo ThinkCentre,ABC123,6/18/2013,7/10/2024,Windows 10,AMD Ryzen 5,23,1/15/2024
225,scanner,Thoughtstorm,Dell OptiPlex,GHI789,6/17/2017,10/3/2022,Ubuntu 20.04,Qualcomm Snapdragon,6,7/10/2023
226,desktop,Midel,Lenovo ThinkCentre,DEF456,12/30/2012,9/6/2025,macOS Big Sur,AMD Ryzen 5,27,2/24/2020
227,scanner,Eabox,Lenovo ThinkCentre,GHI789,2/1/2016,1/12/2023,macOS Big Sur,Qualcomm Snapdragon,32,3/20/2023
228,scanner,Katz,Dell OptiPlex,GHI789,2/4/2018,12/14/2025,Ubuntu 20.04,Qualcomm Snapdragon,7,4/24/2023
229,desktop,Jabbersphere,Lenovo ThinkCentre,GHI789,5/17/2020,6/30/2022,Windows 10,Intel Core i7,13,9/24/2023
230,printer,Ooba,HP EliteBook,GHI789,11/2/2019,3/13/2023,macOS Big Sur,Qualcomm Snapdragon,19,9/30/2020
231,printer,Voomm,Lenovo ThinkCentre,GHI789,12/19/2019,9/10/2023,Windows 10,Qualcomm Snapdragon,25,6/24/2021
232,server,Flipstorm,Lenovo ThinkCentre,GHI789,5/8/2015,7/27/2025,Windows 10,AMD Ryzen 5,15,10/5/2023
233,laptop,Zoomdog,Lenovo ThinkCentre,GHI789,2/7/2012,7/16/2023,Windows 10,Qualcomm Snapdragon,21,9/23/2022
234,printer,Brightbean,Lenovo ThinkCentre,GHI789,12/14/2015,8/16/2025,Windows 10,Intel Core i7,6,11/2/2020
235,scanner,Rhybox,Dell OptiPlex,DEF456,2/19/2012,1/25/2025,Ubuntu 20.04,Intel Core i7,19,3/25/2023
236,scanner,Tanoodle,Lenovo ThinkCentre,GHI789,1/8/2019,8/6/2023,macOS Big Sur,Qualcomm Snapdragon,11,9/2/2020
237,desktop,Zooxo,Dell OptiPlex,DEF456,7/22/2021,4/10/2025,Ubuntu 20.04,Qualcomm Snapdragon,16,8/17/2020
238,desktop,Dynazzy,Lenovo ThinkCentre,GHI789,12/14/2019,4/13/2024,macOS Big Sur,Intel Core i7,7,7/15/2021
239,scanner,Voolith,Dell OptiPlex,GHI789,1/22/2014,5/9/2022,Windows 10,AMD Ryzen 5,21,3/27/2021
240,printer,Pixoboo,Lenovo ThinkCentre,GHI789,8/4/2010,12/2/2022,Ubuntu 20.04,Intel Core i7,7,11/24/2020
241,desktop,Devpoint,Dell OptiPlex,DEF456,8/7/2018,10/28/2025,Windows 10,Qualcomm Snapdragon,6,12/4/2023
242,desktop,Wordware,Dell OptiPlex,ABC123,3/31/2018,3/10/2024,macOS Big Sur,AMD Ryzen 5,20,11/9/2022
243,server,Photobean,Dell OptiPlex,ABC123,3/19/2021,3/28/2025,Ubuntu 20.04,AMD Ryzen 5,12,2/20/2022
244,server,Skinder,HP EliteBook,ABC123,6/21/2016,9/3/2022,Ubuntu 20.04,AMD Ryzen 5,31,9/14/2021
245,desktop,Jabbertype,Lenovo ThinkCentre,DEF456,8/19/2017,4/7/2023,Windows 10,Intel Core i7,29,11/6/2023
246,printer,Snaptags,HP EliteBook,ABC123,12/28/2013,8/22/2025,Windows 10,AMD Ryzen 5,5,6/11/2022
247,scanner,Realpoint,Lenovo ThinkCentre,ABC123,3/30/2018,6/16/2024,macOS Big Sur,Qualcomm Snapdragon,11,10/6/2021
248,laptop,Leexo,Lenovo ThinkCentre,GHI789,9/15/2010,3/20/2025,macOS Big Sur,Intel Core i7,27,11/15/2022
249,laptop,Edgeclub,Dell OptiPlex,DEF456,3/20/2018,2/23/2025,Ubuntu 20.04,Intel Core i7,14,3/23/2022
250,laptop,Yakitri,Dell OptiPlex,ABC123,8/22/2013,1/22/2024,Ubuntu 20.04,AMD Ryzen 5,26,8/13/2023
251,server,Babbleopia,Dell OptiPlex,ABC123,7/9/2021,9/4/2024,macOS Big Sur,Qualcomm Snapdragon,15,7/18/2022
252,laptop,Chatterbridge,Dell OptiPlex,ABC123,4/1/2015,7/18/2025,Windows 10,Qualcomm Snapdragon,23,5/21/2020
253,desktop,Chatterbridge,Dell OptiPlex,DEF456,3/30/2015,2/22/2024,Windows 10,Qualcomm Snapdragon,21,1/20/2024
254,scanner,Topdrive,Dell OptiPlex,GHI789,10/2/2011,5/30/2024,Ubuntu 20.04,Qualcomm Snapdragon,17,10/27/2022
255,server,Fadeo,Dell OptiPlex,GHI789,8/14/2010,9/18/2024,macOS Big Sur,AMD Ryzen 5,22,12/22/2023
256,server,Yodel,HP EliteBook,DEF456,4/13/2021,10/30/2025,Windows 10,Qualcomm Snapdragon,12,9/7/2020
257,laptop,Brainsphere,Lenovo ThinkCentre,DEF456,10/17/2020,10/14/2025,Ubuntu 20.04,Intel Core i7,31,9/5/2021
258,server,Yodoo,Dell OptiPlex,DEF456,5/22/2011,8/4/2023,Windows 10,Qualcomm Snapdragon,11,12/23/2023
259,server,Snaptags,HP EliteBook,ABC123,7/22/2020,3/24/2025,Ubuntu 20.04,Intel Core i7,31,1/7/2024
260,server,Mynte,Lenovo ThinkCentre,ABC123,3/18/2019,6/5/2022,Ubuntu 20.04,Intel Core i7,24,6/24/2020
261,printer,Oyoba,Dell OptiPlex,GHI789,1/1/2021,5/29/2023,Windows 10,Qualcomm Snapdragon,6,12/25/2022
262,desktop,Wordpedia,Lenovo ThinkCentre,DEF456,12/9/2021,11/4/2023,Windows 10,AMD Ryzen 5,30,4/15/2023
263,laptop,Tagchat,HP EliteBook,GHI789,6/28/2013,4/28/2022,macOS Big Sur,Intel Core i7,24,2/28/2021
264,laptop,Quaxo,Lenovo ThinkCentre,GHI789,9/12/2018,6/8/2022,Windows 10,Qualcomm Snapdragon,27,6/5/2021
265,scanner,Browseblab,Lenovo ThinkCentre,ABC123,1/21/2017,4/5/2023,Ubuntu 20.04,Qualcomm Snapdragon,11,12/20/2021
266,desktop,Eamia,HP EliteBook,ABC123,8/30/2019,3/23/2025,Windows 10,AMD Ryzen 5,26,9/23/2023
267,laptop,Yacero,Lenovo ThinkCentre,GHI789,1/8/2020,10/12/2023,Windows 10,Qualcomm Snapdragon,20,10/30/2023
268,desktop,Blogtags,Dell OptiPlex,GHI789,10/17/2017,3/6/2023,macOS Big Sur,AMD Ryzen 5,10,8/17/2020
269,scanner,LiveZ,Dell OptiPlex,GHI789,2/24/2017,5/27/2022,Windows 10,Qualcomm Snapdragon,19,9/27/2020
270,printer,Skiba,Dell OptiPlex,ABC123,6/6/2013,11/20/2023,macOS Big Sur,AMD Ryzen 5,17,9/23/2023
271,desktop,Roomm,Lenovo ThinkCentre,GHI789,3/11/2016,8/17/2024,Ubuntu 20.04,Qualcomm Snapdragon,14,7/23/2022
272,desktop,Abatz,HP EliteBook,GHI789,1/11/2019,2/3/2024,Ubuntu 20.04,AMD Ryzen 5,14,4/14/2020
273,desktop,Fivespan,Lenovo ThinkCentre,ABC123,5/13/2016,6/17/2022,Ubuntu 20.04,Intel Core i7,28,2/20/2022
274,laptop,Realmix,Dell OptiPlex,GHI789,12/12/2016,10/5/2023,Windows 10,Intel Core i7,13,11/13/2022
275,laptop,Oyoyo,Dell OptiPlex,ABC123,1/9/2010,7/23/2023,macOS Big Sur,Intel Core i7,5,8/9/2020
276,printer,Devify,Lenovo ThinkCentre,GHI789,5/7/2016,2/6/2024,Windows 10,AMD Ryzen 5,9,1/24/2022
277,desktop,Edgeclub,HP EliteBook,ABC123,1/11/2013,11/17/2022,Ubuntu 20.04,Intel Core i7,10,7/24/2022
278,scanner,Fadeo,HP EliteBook,GHI789,1/23/2020,10/17/2024,Windows 10,Intel Core i7,12,6/3/2020
279,desktop,Leexo,Dell OptiPlex,DEF456,4/5/2017,12/14/2022,Ubuntu 20.04,AMD Ryzen 5,20,12/5/2023
280,laptop,Rhycero,Lenovo ThinkCentre,DEF456,12/14/2021,7/19/2025,macOS Big Sur,Intel Core i7,22,4/18/2022
281,printer,Shuffletag,Dell OptiPlex,DEF456,3/26/2020,7/2/2023,Windows 10,Intel Core i7,13,8/22/2020
282,printer,Shuffledrive,Dell OptiPlex,DEF456,1/21/2018,7/9/2025,Ubuntu 20.04,AMD Ryzen 5,22,11/30/2021
283,laptop,Twitternation,HP EliteBook,ABC123,12/5/2019,7/1/2022,macOS Big Sur,Qualcomm Snapdragon,32,11/27/2022
284,scanner,Centimia,HP EliteBook,ABC123,8/24/2012,8/3/2025,Ubuntu 20.04,Qualcomm Snapdragon,13,2/20/2023
285,laptop,Mudo,HP EliteBook,GHI789,3/9/2015,12/25/2024,Windows 10,Intel Core i7,18,10/28/2023
286,scanner,Yodoo,Lenovo ThinkCentre,ABC123,9/18/2010,7/25/2024,Windows 10,Qualcomm Snapdragon,22,6/10/2021
287,laptop,Oyoloo,HP EliteBook,DEF456,9/1/2012,8/29/2023,Ubuntu 20.04,Intel Core i7,7,7/28/2022
288,desktop,Edgepulse,Dell OptiPlex,GHI789,12/28/2010,9/30/2022,Windows 10,Intel Core i7,29,7/16/2020
289,desktop,Minyx,HP EliteBook,GHI789,11/30/2015,11/23/2023,Windows 10,AMD Ryzen 5,24,5/13/2023
290,laptop,Flipopia,Dell OptiPlex,DEF456,2/9/2015,10/25/2023,Windows 10,Qualcomm Snapdragon,9,1/22/2024
291,printer,Photospace,Lenovo ThinkCentre,GHI789,7/1/2012,8/2/2025,Ubuntu 20.04,Intel Core i7,12,1/30/2020
292,server,Brightdog,Lenovo ThinkCentre,ABC123,6/18/2016,8/27/2025,macOS Big Sur,Qualcomm Snapdragon,18,8/3/2020
293,laptop,Omba,Dell OptiPlex,ABC123,5/3/2013,10/27/2022,Windows 10,Intel Core i7,23,3/29/2023
294,desktop,Livefish,Dell OptiPlex,DEF456,9/2/2016,10/26/2023,Ubuntu 20.04,Intel Core i7,7,4/28/2023
295,scanner,Omba,Lenovo ThinkCentre,GHI789,9/14/2015,4/16/2022,macOS Big Sur,AMD Ryzen 5,18,1/6/2024
296,scanner,Twitterbeat,Lenovo ThinkCentre,GHI789,2/26/2012,5/29/2025,Ubuntu 20.04,Qualcomm Snapdragon,6,3/3/2021
297,server,Wikizz,Lenovo ThinkCentre,DEF456,8/26/2014,10/9/2023,Windows 10,Qualcomm Snapdragon,9,3/16/2022
298,scanner,Fanoodle,Lenovo ThinkCentre,GHI789,3/24/2017,8/14/2024,Windows 10,AMD Ryzen 5,22,11/18/2022
299,server,Youspan,HP EliteBook,DEF456,3/20/2021,4/5/2025,macOS Big Sur,Qualcomm Snapdragon,4,12/20/2020
300,scanner,Skynoodle,Dell OptiPlex,GHI789,12/15/2017,8/14/2025,macOS Big Sur,Qualcomm Snapdragon,25,3/24/2023
301,printer,Edgeblab,HP EliteBook,ABC123,11/8/2020,7/27/2022,macOS Big Sur,Qualcomm Snapdragon,32,7/23/2021
302,desktop,Innotype,Dell OptiPlex,GHI789,4/28/2016,12/18/2025,Ubuntu 20.04,Intel Core i7,12,3/2/2023
303,server,Centizu,Dell OptiPlex,ABC123,10/6/2014,2/1/2025,macOS Big Sur,Intel Core i7,29,11/13/2022
304,scanner,Fivechat,Dell OptiPlex,ABC123,1/18/2015,1/16/2023,macOS Big Sur,AMD Ryzen 5,8,9/8/2023
305,server,Ozu,Lenovo ThinkCentre,GHI789,1/19/2015,1/17/2023,Windows 10,AMD Ryzen 5,12,12/10/2022
306,scanner,Realblab,Lenovo ThinkCentre,GHI789,8/9/2014,8/22/2023,Ubuntu 20.04,Qualcomm Snapdragon,27,7/15/2023
307,desktop,Quimba,Dell OptiPlex,DEF456,2/5/2016,8/17/2024,macOS Big Sur,Intel Core i7,26,10/21/2021
308,scanner,Skajo,HP EliteBook,ABC123,6/10/2019,7/18/2025,macOS Big Sur,Intel Core i7,18,12/22/2021
309,server,Oyoyo,HP EliteBook,DEF456,3/22/2016,5/1/2025,Windows 10,Qualcomm Snapdragon,24,2/7/2021
310,scanner,Skinder,Lenovo ThinkCentre,DEF456,11/24/2017,6/22/2022,macOS Big Sur,Qualcomm Snapdragon,27,10/11/2022
311,laptop,Eadel,Lenovo ThinkCentre,DEF456,2/27/2019,1/29/2023,Ubuntu 20.04,Intel Core i7,4,3/15/2022
312,desktop,Plambee,Dell OptiPlex,ABC123,12/18/2015,10/25/2024,Windows 10,Intel Core i7,12,5/31/2022
313,scanner,Feedfire,HP EliteBook,ABC123,9/4/2012,5/31/2025,Ubuntu 20.04,Intel Core i7,31,2/4/2024
314,printer,Kazu,Lenovo ThinkCentre,DEF456,7/27/2010,8/26/2025,macOS Big Sur,AMD Ryzen 5,32,2/15/2021
315,desktop,Thoughtbridge,HP EliteBook,GHI789,5/12/2015,6/2/2023,macOS Big Sur,Qualcomm Snapdragon,5,11/15/2022
316,printer,Quimm,Dell OptiPlex,ABC123,6/1/2021,5/27/2025,Windows 10,Intel Core i7,15,5/6/2020
317,scanner,Lajo,Lenovo ThinkCentre,GHI789,12/23/2011,8/3/2025,macOS Big Sur,Qualcomm Snapdragon,8,7/23/2022
318,printer,Jamia,Dell OptiPlex,ABC123,4/19/2017,6/1/2024,Windows 10,AMD Ryzen 5,28,7/13/2021
319,scanner,Meeveo,Lenovo ThinkCentre,DEF456,5/27/2011,10/6/2024,Windows 10,AMD Ryzen 5,20,11/24/2023
320,desktop,Photobean,Lenovo ThinkCentre,DEF456,9/6/2010,9/1/2025,Ubuntu 20.04,AMD Ryzen 5,5,8/3/2022
321,server,Zoovu,HP EliteBook,GHI789,7/2/2014,5/2/2024,macOS Big Sur,Intel Core i7,6,12/26/2020
322,scanner,Skimia,Dell OptiPlex,DEF456,2/19/2012,7/31/2022,Ubuntu 20.04,Qualcomm Snapdragon,22,5/21/2022
323,laptop,Innojam,HP EliteBook,DEF456,4/26/2012,4/10/2023,macOS Big Sur,AMD Ryzen 5,20,3/29/2020
324,printer,Plajo,Dell OptiPlex,ABC123,6/27/2020,5/21/2022,Windows 10,Qualcomm Snapdragon,30,12/13/2021
325,desktop,Abatz,Dell OptiPlex,DEF456,3/7/2019,7/2/2025,macOS Big Sur,Qualcomm Snapdragon,15,11/13/2021
326,scanner,Camido,Dell OptiPlex,ABC123,3/13/2013,2/21/2024,Windows 10,AMD Ryzen 5,29,11/25/2021
327,server,Thoughtblab,HP EliteBook,ABC123,9/4/2018,10/9/2022,Ubuntu 20.04,AMD Ryzen 5,22,12/24/2020
328,server,Yodel,HP EliteBook,GHI789,8/15/2018,9/23/2024,Ubuntu 20.04,Intel Core i7,16,3/13/2023
329,server,Snaptags,HP EliteBook,ABC123,1/19/2019,4/12/2024,macOS Big Sur,Intel Core i7,13,8/4/2022
330,desktop,Tavu,Lenovo ThinkCentre,DEF456,8/19/2011,6/27/2023,Ubuntu 20.04,AMD Ryzen 5,5,1/20/2024
331,server,Leenti,Dell OptiPlex,ABC123,8/5/2016,2/21/2022,Windows 10,AMD Ryzen 5,26,9/10/2023
332,server,Brightdog,Dell OptiPlex,DEF456,1/1/2012,4/29/2025,macOS Big Sur,Intel Core i7,9,4/17/2020
333,printer,Topicstorm,Dell OptiPlex,GHI789,10/7/2018,7/17/2024,macOS Big Sur,AMD Ryzen 5,24,2/5/2023
334,laptop,Gigabox,Dell OptiPlex,ABC123,1/7/2014,6/30/2022,Windows 10,Intel Core i7,6,1/10/2023
335,scanner,Topicshots,HP EliteBook,DEF456,7/4/2016,11/22/2025,macOS Big Sur,Intel Core i7,18,7/26/2021
336,desktop,Eazzy,Lenovo ThinkCentre,GHI789,2/28/2018,6/30/2025,Ubuntu 20.04,Qualcomm Snapdragon,24,3/30/2023
337,scanner,Wikibox,HP EliteBook,GHI789,9/1/2011,9/2/2025,macOS Big Sur,AMD Ryzen 5,18,1/12/2024
338,desktop,Twinder,Lenovo ThinkCentre,GHI789,2/17/2016,6/20/2025,macOS Big Sur,Intel Core i7,27,3/26/2021
339,printer,Layo,Dell OptiPlex,ABC123,9/11/2012,10/9/2023,macOS Big Sur,AMD Ryzen 5,7,10/29/2023
340,server,Riffpedia,Dell OptiPlex,ABC123,6/3/2013,6/1/2023,macOS Big Sur,Qualcomm Snapdragon,25,5/21/2020
341,laptop,Fivechat,Dell OptiPlex,GHI789,7/21/2012,5/18/2024,Ubuntu 20.04,Intel Core i7,28,6/25/2023
342,laptop,Oyoba,Dell OptiPlex,GHI789,10/5/2018,3/11/2025,macOS Big Sur,Qualcomm Snapdragon,18,7/8/2023
343,printer,Oyoyo,HP EliteBook,GHI789,7/20/2011,5/27/2025,Windows 10,AMD Ryzen 5,29,12/20/2022
344,scanner,Aimbo,Dell OptiPlex,ABC123,6/1/2011,9/10/2024,macOS Big Sur,Intel Core i7,8,2/26/2023
345,desktop,Tagchat,Dell OptiPlex,DEF456,6/23/2013,5/3/2024,Ubuntu 20.04,AMD Ryzen 5,13,9/17/2023
346,scanner,Yakidoo,HP EliteBook,ABC123,3/27/2018,2/15/2022,Ubuntu 20.04,AMD Ryzen 5,29,5/13/2023
347,desktop,Demivee,HP EliteBook,ABC123,3/9/2013,10/20/2024,Windows 10,Intel Core i7,17,6/23/2021
348,laptop,Topdrive,Dell OptiPlex,ABC123,9/5/2019,4/26/2025,Windows 10,AMD Ryzen 5,21,3/23/2022
349,laptop,Dabshots,HP EliteBook,ABC123,1/23/2012,2/1/2025,Windows 10,AMD Ryzen 5,22,1/29/2020
350,server,Meedoo,Dell OptiPlex,DEF456,8/17/2010,7/5/2024,Windows 10,AMD Ryzen 5,17,1/26/2020
351,scanner,Kwinu,Dell OptiPlex,DEF456,5/7/2014,12/24/2024,Ubuntu 20.04,Qualcomm Snapdragon,8,2/2/2021
352,desktop,Meejo,Dell OptiPlex,DEF456,12/1/2017,2/14/2024,Ubuntu 20.04,AMD Ryzen 5,12,7/24/2023
353,scanner,Rhynyx,HP EliteBook,GHI789,1/24/2021,9/25/2023,Windows 10,AMD Ryzen 5,19,10/11/2022
354,printer,Eazzy,Lenovo ThinkCentre,GHI789,3/26/2013,5/7/2023,macOS Big Sur,Intel Core i7,14,2/21/2023
355,server,Zoonoodle,HP EliteBook,ABC123,2/18/2012,9/5/2023,macOS Big Sur,AMD Ryzen 5,31,12/15/2023
356,desktop,Wikibox,Dell OptiPlex,ABC123,8/13/2017,2/11/2023,Ubuntu 20.04,Intel Core i7,32,11/23/2022
357,laptop,Yakijo,HP EliteBook,DEF456,6/9/2015,12/7/2024,Windows 10,Intel Core i7,14,5/16/2023
358,printer,Gigashots,Lenovo ThinkCentre,DEF456,1/18/2011,9/14/2022,Windows 10,Intel Core i7,11,1/14/2022
359,scanner,DabZ,Dell OptiPlex,DEF456,3/18/2012,10/27/2022,Ubuntu 20.04,Qualcomm Snapdragon,19,8/9/2021
360,printer,Trudoo,HP EliteBook,DEF456,10/17/2010,12/31/2022,macOS Big Sur,Qualcomm Snapdragon,25,2/5/2023
361,printer,Babbleblab,Dell OptiPlex,ABC123,12/27/2013,1/30/2025,Windows 10,Intel Core i7,32,12/27/2021
362,server,Voonix,Dell OptiPlex,ABC123,1/28/2011,9/6/2022,macOS Big Sur,Intel Core i7,13,9/18/2020
363,server,Fatz,Dell OptiPlex,DEF456,6/17/2018,3/6/2022,Ubuntu 20.04,AMD Ryzen 5,29,7/12/2022
364,scanner,Blogspan,HP EliteBook,DEF456,9/10/2014,10/8/2022,Windows 10,AMD Ryzen 5,26,6/16/2022
365,server,Skyble,Dell OptiPlex,GHI789,10/19/2019,2/8/2024,Windows 10,AMD Ryzen 5,24,8/18/2023
366,printer,Meeveo,Lenovo ThinkCentre,DEF456,3/29/2021,7/9/2025,macOS Big Sur,Intel Core i7,28,9/19/2021
367,desktop,Photofeed,Dell OptiPlex,GHI789,2/26/2018,5/4/2024,macOS Big Sur,Intel Core i7,16,10/7/2022
368,laptop,Skyndu,HP EliteBook,GHI789,9/27/2021,11/22/2023,Windows 10,Qualcomm Snapdragon,17,1/31/2022
369,laptop,Browseblab,Dell OptiPlex,ABC123,11/29/2016,5/18/2022,macOS Big Sur,Qualcomm Snapdragon,32,7/7/2022
370,desktop,Jaxnation,HP EliteBook,GHI789,7/6/2018,11/19/2023,macOS Big Sur,Qualcomm Snapdragon,9,8/29/2022
371,laptop,Jabbersphere,Lenovo ThinkCentre,DEF456,10/6/2015,10/28/2024,macOS Big Sur,Qualcomm Snapdragon,25,11/6/2020
372,printer,Abata,Dell OptiPlex,GHI789,3/3/2014,11/18/2022,Windows 10,Qualcomm Snapdragon,17,3/29/2020
373,printer,Npath,Dell OptiPlex,GHI789,5/24/2010,2/1/2022,macOS Big Sur,AMD Ryzen 5,13,3/14/2021
374,server,Feedmix,Dell OptiPlex,GHI789,5/26/2015,6/1/2025,Windows 10,Intel Core i7,19,2/10/2022
375,desktop,Buzzbean,HP EliteBook,ABC123,12/9/2010,3/19/2025,Windows 10,Intel Core i7,4,6/23/2023
376,printer,Mydeo,HP EliteBook,ABC123,3/5/2017,4/18/2025,macOS Big Sur,Intel Core i7,26,2/4/2024
377,desktop,Ainyx,HP EliteBook,GHI789,11/24/2010,3/21/2024,Windows 10,Qualcomm Snapdragon,31,5/3/2022
378,desktop,Gabspot,HP EliteBook,DEF456,10/1/2019,4/22/2025,Windows 10,Qualcomm Snapdragon,14,6/14/2020
379,server,Vipe,Lenovo ThinkCentre,ABC123,5/4/2010,6/8/2025,macOS Big Sur,AMD Ryzen 5,16,3/10/2021
380,desktop,Thoughtsphere,Lenovo ThinkCentre,ABC123,9/13/2012,4/16/2025,macOS Big Sur,Intel Core i7,12,8/21/2022
381,server,Skipfire,Dell OptiPlex,GHI789,11/7/2013,11/12/2023,Ubuntu 20.04,Qualcomm Snapdragon,26,6/13/2022
382,printer,Oyoloo,Dell OptiPlex,GHI789,3/21/2011,2/25/2022,Windows 10,Qualcomm Snapdragon,11,5/16/2022
383,server,Realcube,Dell OptiPlex,GHI789,11/27/2015,10/16/2023,Windows 10,Qualcomm Snapdragon,12,10/29/2021
384,desktop,Wordpedia,Dell OptiPlex,GHI789,11/16/2018,4/19/2023,Ubuntu 20.04,Qualcomm Snapdragon,10,11/26/2023
385,server,Oyoyo,Lenovo ThinkCentre,ABC123,8/21/2020,12/16/2022,Ubuntu 20.04,AMD Ryzen 5,19,3/14/2020
386,server,Photofeed,HP EliteBook,GHI789,11/9/2020,10/26/2024,Ubuntu 20.04,AMD Ryzen 5,17,4/15/2021
387,desktop,DabZ,HP EliteBook,ABC123,9/8/2016,8/14/2022,Ubuntu 20.04,Intel Core i7,15,8/20/2021
388,scanner,Flashpoint,HP EliteBook,ABC123,9/21/2019,8/20/2022,Windows 10,AMD Ryzen 5,30,11/19/2022
389,laptop,Oloo,Dell OptiPlex,GHI789,9/1/2011,11/30/2024,Windows 10,Intel Core i7,26,3/16/2023
390,scanner,Gigabox,Dell OptiPlex,DEF456,4/17/2011,1/28/2024,macOS Big Sur,Qualcomm Snapdragon,6,6/16/2022
391,printer,Flashspan,HP EliteBook,GHI789,5/6/2010,10/10/2022,Windows 10,Qualcomm Snapdragon,16,4/29/2023
392,server,Viva,Lenovo ThinkCentre,DEF456,9/17/2010,12/27/2023,Windows 10,Qualcomm Snapdragon,9,9/27/2023
393,desktop,Cogidoo,Lenovo ThinkCentre,DEF456,12/24/2014,5/4/2025,Ubuntu 20.04,Qualcomm Snapdragon,30,5/17/2023
394,server,Jayo,Dell OptiPlex,ABC123,2/9/2013,6/15/2022,macOS Big Sur,Qualcomm Snapdragon,15,9/27/2022
395,scanner,Voolith,HP EliteBook,DEF456,7/3/2010,7/6/2025,Ubuntu 20.04,AMD Ryzen 5,17,1/7/2021
396,server,Thoughtworks,Lenovo ThinkCentre,GHI789,8/20/2014,3/19/2023,macOS Big Sur,AMD Ryzen 5,26,3/28/2021
397,printer,Thoughtmix,Dell OptiPlex,GHI789,11/26/2012,11/17/2025,Ubuntu 20.04,AMD Ryzen 5,9,6/26/2020
398,desktop,Centizu,HP EliteBook,ABC123,3/15/2012,7/1/2024,Windows 10,Intel Core i7,30,9/7/2022
399,server,Dabfeed,Dell OptiPlex,GHI789,8/1/2021,8/20/2024,macOS Big Sur,Intel Core i7,13,4/13/2021
400,printer,Lazzy,Lenovo ThinkCentre,GHI789,5/15/2016,10/24/2025,Ubuntu 20.04,Qualcomm Snapdragon,14,2/5/2020
401,laptop,Gigashots,HP EliteBook,ABC123,11/15/2018,2/17/2022,macOS Big Sur,Qualcomm Snapdragon,13,8/16/2023
402,laptop,Abata,HP EliteBook,DEF456,11/15/2015,9/2/2025,Ubuntu 20.04,AMD Ryzen 5,27,11/26/2023
403,laptop,Blogspan,Lenovo ThinkCentre,GHI789,8/27/2013,9/27/2023,macOS Big Sur,Qualcomm Snapdragon,11,10/28/2020
404,printer,Eabox,Dell OptiPlex,DEF456,2/20/2015,10/31/2024,Windows 10,Intel Core i7,16,5/18/2020
